horizon,model,n,actual_up_rate,threshold,balanced_accuracy,brier_score,log_loss,evaluation
1w,XGBoost,329,0.49544072948328266,0.51,0.5346293148052332,0.2494002877687203,0.6919549396662309,validation_locked_threshold
1w,Logistic,329,0.49544072948328266,0.5,0.5004434917584448,0.24964045250197156,0.6924258247235568,validation_locked_threshold
1w,ElasticNet,329,0.49544072948328266,0.49,0.482186414369133,0.2502081552684004,0.6935630144389506,validation_locked_threshold
1w,HistoricalBaseRate,329,0.49544072948328266,0.5,0.5,0.2503228944628805,0.69379336520737,validation_locked_threshold
1w,XGBoost,329,0.49544072948328266,0.5,0.541263212358637,0.2494002877687203,0.6919549396662309,conventional_0.50_threshold
1w,Logistic,329,0.49544072948328266,0.5,0.5004434917584448,0.24964045250197156,0.6924258247235568,conventional_0.50_threshold
1w,ElasticNet,329,0.49544072948328266,0.5,0.5006098011678616,0.2502081552684004,0.6935630144389506,conventional_0.50_threshold
1w,HistoricalBaseRate,329,0.49544072948328266,0.5,0.5,0.2503228944628805,0.69379336520737,conventional_0.50_threshold
