horizon,model,n,actual_up_rate,threshold,balanced_accuracy,brier_score,log_loss,run
1w,Logistic,329,0.4954407294832826,0.5,0.541263212358637,0.2489797525587766,0.691017475676932,original_fixed
1w,ElasticNet,329,0.4954407294832826,0.5,0.5442752605514081,0.2490269317632255,0.6911212956910199,original_fixed
1w,HistoricalBaseRate,329,0.4954407294832826,0.5,0.5,0.2503228944628805,0.69379336520737,original_fixed
1w,XGBoost,329,0.4954407294832826,0.5,0.5273117007908936,0.2504854112545903,0.6941985926370455,original_fixed
1w,XGBoost,329,0.49544072948328266,0.51,0.5346293148052332,0.2494002877687203,0.6919549396662309,tuned
1w,Logistic,329,0.49544072948328266,0.5,0.5004434917584448,0.24964045250197156,0.6924258247235568,tuned
1w,ElasticNet,329,0.49544072948328266,0.49,0.482186414369133,0.2502081552684004,0.6935630144389506,tuned
1w,HistoricalBaseRate,329,0.49544072948328266,0.5,0.5,0.2503228944628805,0.69379336520737,tuned
