max_depth,eta,subsample,colsample_bytree,reg_lambda,min_child_weight,gamma,objective,verbosity,cv_rmse
5,0.18126086447053943,0.6058825219861477,0.9454560360982303,9.1704380236771,9,0.9572101796109636,reg:squarederror,0,0.013822679998830764
5,0.1523865546778512,0.6172267554272817,0.9290825120726007,0.6772797249246835,4,0.8298039852781027,reg:squarederror,0,0.013822838032823453
3,0.03153412759396555,0.9988839743156844,0.992334135510492,2.3500871561213788,6,0.6504592762678163,reg:squarederror,0,0.013832860763121341
4,0.036256706548620024,0.9864248323136281,0.8248927368913828,0.3294042410270249,4,0.24167571409434496,reg:squarederror,0,0.013833746213068224
4,0.014617134156192604,0.9459113181603096,0.6237856606401354,0.5774854103218832,9,0.42977406117857664,reg:squarederror,0,0.013833966554665659
2,0.03543997342513503,0.6113278684581852,0.6497133105998255,2.194061664763007,3,0.6471895115742501,reg:squarederror,0,0.013834572729852803
3,0.14332903756549448,0.9736174063824998,0.7431180786836281,1.3901435898886447,5,0.32186939107594215,reg:squarederror,0,0.013835869509309063
3,0.011057609478450973,0.8918621785719776,0.6702622482410235,5.325468800563892,8,0.5414612202490917,reg:squarederror,0,0.01383594319365021
4,0.01811619379635808,0.6363012182476487,0.8321329543947402,0.39572388640922884,4,0.6719948779563594,reg:squarederror,0,0.013836201217049754
2,0.04640730412013366,0.9716416883188025,0.6264329986896299,4.815424291375061,7,0.0666900087671014,reg:squarederror,0,0.013836561966325026
2,0.02982359582587746,0.6314520148662559,0.8610458305346553,0.35293781866227025,1,0.7026520706597863,reg:squarederror,0,0.013837096826824902
4,0.015680622765573443,0.7801357466597147,0.9185297081149177,0.2892573598871277,4,0.05202130106440961,reg:squarederror,0,0.013837299836133729
5,0.1677826477557911,0.7460440672979314,0.6421981118280918,1.8122424665646286,2,0.9271545530678674,reg:squarederror,0,0.013838360663219982
5,0.05353264938737272,0.7153684857724841,0.765158537072357,4.3275484811873905,8,0.6265064624197535,reg:squarederror,0,0.0138385534059012
4,0.046123096606333985,0.73771829238493,0.9979669392643671,0.4284371194680511,8,0.18271237892656245,reg:squarederror,0,0.013838756850627668
3,0.18383045324115338,0.9559742222882083,0.9289495310172282,0.9119601211802475,2,0.23237291963930384,reg:squarederror,0,0.013838780144981638
4,0.027496954381743655,0.7566476002112644,0.9561097408019169,0.2846526210270597,6,0.6231871446860424,reg:squarederror,0,0.013839155138669137
5,0.15870448777631627,0.706452108916917,0.8155737630488747,0.7682554643764793,8,0.931017315981155,reg:squarederror,0,0.013839254483203816
2,0.019662116134676916,0.6498218823341134,0.7153323028030311,1.4867780118187488,8,0.5540905021732678,reg:squarederror,0,0.013839582520071916
5,0.03203301751333335,0.6540386020089645,0.8885953360776326,1.123850763479262,7,0.31024187555895566,reg:squarederror,0,0.013840395122691751
2,0.12090308760482912,0.9148393229954733,0.6957477771971808,5.661981703471361,1,0.05856803480519435,reg:squarederror,0,0.013840414720992764
3,0.11377216371043576,0.8671557622285405,0.9833654527111808,7.102792941424289,8,0.7482485033017541,reg:squarederror,0,0.013840587828736126
5,0.0224244979114381,0.6163894095744779,0.6066110542114116,4.231949517477533,6,0.9127555772777217,reg:squarederror,0,0.013840644192694318
4,0.08945570739323566,0.8457492987795987,0.6113461460454084,2.744350299822119,1,0.015991729523571974,reg:squarederror,0,0.013840711576284373
4,0.039633158225971014,0.9030915381233166,0.7989690781950476,1.1445224619652143,9,0.7857857007138075,reg:squarederror,0,0.01384153500763432
3,0.18595207054457272,0.9102764752407313,0.7235429450877043,0.346476330364127,5,0.8631202041893178,reg:squarederror,0,0.01384189585196551
2,0.09012154808696712,0.8844571511959,0.9728238746453512,0.16977168792078992,4,0.7290151170763094,reg:squarederror,0,0.013843680763473521
4,0.030215218168988506,0.8210446042085149,0.8375696806452673,4.972587301179067,9,0.14547353818653175,reg:squarederror,0,0.013844051388735951
3,0.1741677100526794,0.7999583254750587,0.7700914499396302,1.7395098970283307,4,0.9950965052353241,reg:squarederror,0,0.013846967740001201
4,0.08878621235937974,0.8174499965861691,0.9740289695151073,4.2825960119971,6,0.002738500170148095,reg:squarederror,0,0.014033930818469164
