candidate_id,model,feature_set,params,validation_start,validation_end,n_validation,threshold,balanced_accuracy,brier_score,log_loss,probability_std,selected
20,ElasticNet,core,"{""C"": 1.0, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2565351900222889,0.7064818028101677,0.029596237608097722,False
43,ElasticNet,extended,"{""C"": 0.1, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.25763323382020414,0.7086943860793607,0.033591472534821094,False
48,ElasticNet,extended,"{""C"": 0.3, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.49,0.5064102564102564,0.258228854257369,0.7099378886989051,0.03594861240643423,False
47,ElasticNet,extended,"{""C"": 0.3, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.485,0.5128205128205128,0.2588989962596597,0.7113428484692407,0.0385940124163276,False
46,ElasticNet,extended,"{""C"": 0.3, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.485,0.5128205128205128,0.2593065707806636,0.7122201875330006,0.04150383675430278,False
51,ElasticNet,extended,"{""C"": 1.0, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.25959613422076233,0.7128384667895378,0.043083206957120986,False
50,ElasticNet,extended,"{""C"": 1.0, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.2597253255883671,0.7131184620467617,0.0440315027358911,False
49,ElasticNet,extended,"{""C"": 1.0, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.2598721962248712,0.7134367089547766,0.04501606348430205,False
1,Logistic,core,"{""C"": 0.001}",2017-01-06,2019-12-27,156,0.5,0.5,0.25134018607230885,0.6958324683293182,0.005853583598045632,True
30,Logistic,extended,"{""C"": 0.001}",2017-01-06,2019-12-27,156,0.505,0.5,0.2516164808723912,0.6963873140984629,0.006940621855750568,False
2,Logistic,core,"{""C"": 0.01}",2017-01-06,2019-12-27,156,0.485,0.5128205128205128,0.2541458157574467,0.701520980904674,0.01967544680980341,False
31,Logistic,extended,"{""C"": 0.01}",2017-01-06,2019-12-27,156,0.485,0.5192307692307693,0.25537838429275045,0.7040203895856839,0.02406987326465947,False
3,Logistic,core,"{""C"": 0.1}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2562383974360088,0.705858956450359,0.02847410957173013,False
4,Logistic,core,"{""C"": 1.0}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2566015715716912,0.7066217603511511,0.029897946745890053,False
32,Logistic,extended,"{""C"": 0.1}",2017-01-06,2019-12-27,156,0.48,0.5192307692307692,0.259154192219076,0.7118968928541667,0.04116492076844651,False
33,Logistic,extended,"{""C"": 1.0}",2017-01-06,2019-12-27,156,0.485,0.5256410256410257,0.25998651992589655,0.7136904761682307,0.04596079472840081,False
52,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 40, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.51,0.5,0.25279978146856463,0.698771408240996,0.01796482020061671,True
23,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 40, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.51,0.5,0.2535559538370009,0.7002787832795732,0.018890331072364583,False
55,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 40, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.525,0.5,0.2541869707260139,0.7015588461229868,0.025002480988038173,False
26,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 40, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.525,0.5,0.2543684460070276,0.7019164215493456,0.026044819673415123,False
53,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.52,0.5,0.2544125920494203,0.7020348267942983,0.028442885197781573,False
24,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.535,0.5,0.2550269182313152,0.7032637261041023,0.027139774071347874,False
54,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.54,0.5,0.25578299639110796,0.7048373337004921,0.03927226913455314,False
27,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.535,0.5,0.256750761646293,0.7067444213616211,0.03862710358570515,False
25,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.535,0.5,0.25739038059256725,0.7080685604959082,0.036060496316821414,False
28,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.51,0.4871794871794872,0.25782749089782653,0.7090039346814441,0.05069094412521502,False
56,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.55,0.4935897435897436,0.2578427951028083,0.7089859756761546,0.04123955421686626,False
29,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.54,0.4935897435897436,0.2588423060050128,0.7111192487042836,0.06096225177929792,False
58,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.525,0.5192307692307693,0.2591213764661572,0.7117936100345101,0.0680595627563544,False
57,XGBoost,extended,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.5,0.4743589743589744,0.2603087155737289,0.714121904307035,0.05674337790487988,False
