year,horizon,model,n,actual_up_rate,threshold,balanced_accuracy,brier_score,log_loss
2020,1w,ElasticNet,52,0.4807692307692308,0.49,0.5362962962962963,0.24724378843596043,0.6876288429520137
2020,1w,HistoricalBaseRate,52,0.4807692307692308,0.5,0.5,0.24997286863048845,0.6930930721163168
2020,1w,Logistic,52,0.4807692307692308,0.5,0.5829629629629629,0.24744037233856492,0.6880183426672686
2020,1w,XGBoost,52,0.4807692307692308,0.51,0.6044444444444445,0.24877264725691642,0.6907014819861843
2021,1w,ElasticNet,53,0.4716981132075472,0.49,0.5507142857142857,0.2491246130252593,0.6913996656933507
2021,1w,HistoricalBaseRate,53,0.4716981132075472,0.5,0.5,0.2498291009642128,0.6928058461302071
2021,1w,Logistic,53,0.4716981132075472,0.5,0.48214285714285715,0.24921465464212547,0.6915758261666755
2021,1w,XGBoost,53,0.4716981132075472,0.51,0.4685714285714285,0.24709391570150122,0.6873031502138084
2022,1w,ElasticNet,52,0.5,0.49,0.4230769230769231,0.25137647551843145,0.695897119153687
2022,1w,HistoricalBaseRate,52,0.5,0.5,0.5,0.25052104706269246,0.6941899592846222
2022,1w,Logistic,52,0.5,0.5,0.4807692307692307,0.2496979449619231,0.6925425318233103
2022,1w,XGBoost,52,0.5,0.51,0.5576923076923077,0.24889678413045488,0.6909935074937386
2023,1w,ElasticNet,52,0.5192307692307693,0.49,0.44814814814814813,0.25236535707239977,0.6978795778461504
2023,1w,HistoricalBaseRate,52,0.5192307692307693,0.5,0.5,0.25082786007797625,0.6948034507346491
2023,1w,Logistic,52,0.5192307692307693,0.5,0.5,0.25116545376603655,0.6954775527476683
2023,1w,XGBoost,52,0.5192307692307693,0.51,0.517037037037037,0.2502764078493052,0.6937089433873064
2024,1w,ElasticNet,52,0.5961538461538461,0.49,0.44777265745007677,0.25265111031068854,0.6984507713947672
2024,1w,HistoricalBaseRate,52,0.5961538461538461,0.5,0.5,0.2522200941728184,0.6975881338777578
2024,1w,Logistic,52,0.5961538461538461,0.5,0.5,0.25264739633449207,0.6984450124024727
2024,1w,XGBoost,52,0.5961538461538461,0.51,0.5729646697388633,0.250552182046838,0.6942519843225953
2025,1w,ElasticNet,52,0.40384615384615385,0.49,0.5268817204301075,0.24793706971634177,0.6890206125690935
2025,1w,HistoricalBaseRate,52,0.40384615384615385,0.5,0.5,0.24860358811446442,0.6903541843847147
2025,1w,Logistic,52,0.40384615384615385,0.5,0.46774193548387094,0.24756931405520233,0.6882806418809045
2025,1w,XGBoost,52,0.40384615384615385,0.51,0.4508448540706605,0.2519621177456539,0.6970776997775402
2026,1w,ElasticNet,16,0.5,0.49,0.4375,0.25206505863539047,0.6972780890656343
2026,1w,HistoricalBaseRate,16,0.5,0.5,0.5,0.2502328817590952,0.6936131054765342
2026,1w,Logistic,16,0.5,0.5,0.5,0.2500166963370377,0.6931778317557463
2026,1w,XGBoost,16,0.5,0.51,0.6875,0.2457993696382909,0.6847475066596951
