max_depth,eta,subsample,colsample_bytree,reg_lambda,min_child_weight,gamma,cv_rmse
4,0.0852084800119005,0.8411053504286575,0.8179532731987588,0.7035737028722148,7,0.4375872112626925,0.013842101255045636
6,0.17937179620011748,0.7533766075303111,0.9166900152330658,1.1423254155608376,6,0.925596638292661,0.013832993559229364
2,0.012982485087605059,0.6080873589761303,0.9330479382191752,3.6000911929116097,9,0.978618342232764,0.013838477895934755
5,0.03984726267151497,0.9122116705145822,0.6473097703475733,1.9047678084282038,2,0.9446689170495839,0.013841088666930451
4,0.034632801362530136,0.7058222448418507,0.9096934757736866,0.8171478915115864,6,0.018789800436355142,0.013837105562671356
5,0.06256837783419193,0.8467735987499028,0.9774992314058497,2.310152225018238,4,0.43703195379934145,0.013845964010110253
5,0.011977195682764619,0.8667066861782671,0.8682551478472638,0.2634905974115613,2,0.31542835092418386,0.01383722035557582
3,0.05518780254129615,0.7754406053849281,0.9953495352236905,0.159988814926315,3,0.16130951788499626,0.01384239932833609
5,0.021356986471473192,0.7865243091425225,0.6977702368006411,0.2079405399213931,2,0.6563295894652734,0.013839185591860672
2,0.01802019761039029,0.7474900682643856,0.9283972919391741,0.15638768526427793,9,0.09609840789396307,0.013837404739886127
6,0.19186147456567626,0.9811113043440463,0.7274015140552499,7.916993490978046,5,0.7311999283452271,0.013832833010811405
6,0.1981140838069411,0.997567687055932,0.7416172130864247,9.077667543687813,5,0.7659060274326625,0.013832373444904598
6,0.19711820940596206,0.9895750357510633,0.7381827242388402,8.143641561653812,4,0.7070757521852252,0.013833445258995606
6,0.1159584354506513,0.9943937551742776,0.7612468850266566,8.441340143567688,5,0.7186573946285405,0.013834227956224559
6,0.127309064731482,0.9365645272882387,0.6362615346462348,4.829077062552142,7,0.8127480006384545,0.013834998628155109
6,0.12171197740135338,0.9389260129543884,0.8072667280617777,4.980169415448189,4,0.5746375280418088,0.013832259825693787
3,0.11647748390942854,0.9235800247371908,0.8138337085745205,4.131242127163225,1,0.5686808122969886,0.013834539633562593
5,0.07678251503285868,0.8943049709172015,0.8515049154210487,1.913344278926367,4,0.5689863736334921,0.01384397171291954
4,0.13757688004661447,0.9504022718482038,0.7734815718307855,0.43717533916113105,8,0.3068665287680773,0.01383595287508416
6,0.08770867739405072,0.6675467974246323,0.6805798330757422,5.173055001116645,10,0.5581115394592231,0.013838652236112182
3,0.0316754436414224,0.8704414640356483,0.6105995758173856,9.603285132794873,3,0.8221582162446477,0.013841729080486347
6,0.16265014124945815,0.9610860647509339,0.7234128952853809,5.716356503916051,5,0.8066328055426162,0.013838180219613907
6,0.1959007704525025,0.9681203195503177,0.7886560197179899,3.074081140980853,5,0.655740636452586,0.013839508623810304
5,0.14391308039425885,0.9871279065269392,0.7210803351964643,6.56446984847621,6,0.8669604093317363,0.01383396693950661
6,0.100965487680605,0.9017496300772917,0.838379593420634,9.540057764854852,4,0.7250285019753503,0.013843863738127446
5,0.15886862017758807,0.9978285954459796,0.7542674629502206,2.8864523836452007,7,0.46965238775400736,0.013832203425284429
5,0.06305520842147616,0.9464567610284035,0.7605284667410115,1.4035469369621318,7,0.3309429551801494,0.013835836445925526
4,0.14848779426889544,0.8180559397236464,0.6768939432092017,2.821209971697562,8,0.47899715101719753,0.013843024739405666
5,0.09974006639356653,0.9326833751592921,0.7878560159109039,3.42981275625788,3,0.39348702489643245,0.01383887688306359
5,0.07513924271586576,0.8760799343600014,0.8160476255639164,0.4350128290837731,7,0.23484497109774438,0.013841745542048714
4,0.09698467752065976,0.9993238036223572,0.882457949218706,1.3818266697452841,8,0.5225432235238512,0.013832680062635739
4,0.10137746434250422,0.9977342883592025,0.8781592556709631,1.422015020968284,8,0.5038123857986112,0.013832557296745904
4,0.16016179346881987,0.9614093807532147,0.8367630835307752,0.10084212024421427,6,0.6236013824047482,0.013838080067577061
4,0.11923251030366402,0.9649594325931837,0.7477177399720751,2.222518413440113,9,0.43000664691366874,0.013837429170502555
6,0.16176451442493742,0.9975975689124342,0.8914855697158631,1.2138131370905783,8,0.49375662084908045,0.013832251644818749
6,0.16682510598194497,0.9236136944716752,0.9026074388111377,0.8938536054155246,6,0.3662733370806887,0.013832701767115176
6,0.16733809021248008,0.97230175098829,0.9659585408848934,0.6783595502042717,7,0.6149989122262398,0.0138368598361367
6,0.0477066318997359,0.6005640975490789,0.7024297173831163,6.625204034842727,10,0.8959580021606629,0.013833569160117779
5,0.13240018475089296,0.9436957799251406,0.7982171772735961,2.6383848600868514,6,0.45769434135592224,0.013837526053314855
6,0.17820158430992303,0.9047588452288913,0.8550614057765792,4.079938161407326,7,0.9789943380258228,0.013843941015935201
5,0.02553081925131549,0.8404517595095846,0.9628487907492858,0.6069376812165705,9,0.25049983819276245,0.01384011837312408
3,0.11125605942035759,0.9926724561172093,0.8970566158226302,1.446604142218982,8,0.511423258907099,0.013833927639926278
5,0.14275437295863885,0.998663558094314,0.947347707969727,1.0962089260284187,8,0.43196483293647137,0.013832387646048393
5,0.14460245547471973,0.9741231238408703,0.9410371381207147,1.12417619264862,9,0.4067012648048103,0.013836020870371404
6,0.19487131712716618,0.6526234456243939,0.9390034325506268,0.529454833976104,4,0.3491527936854237,0.0138414354121292
6,0.0148231687932871,0.9783259604739254,0.9865465468860491,2.01011101859257,5,0.26169327911670803,0.013833461300514136
5,0.08527277254561387,0.9538484296301146,0.9174347160578211,0.8612683663567303,7,0.4647440356344731,0.013837941865836052
6,0.13136769583481098,0.9223606674880835,0.7706613018967768,4.319798798800551,3,0.602289361611897,0.01383315332979528
6,0.15374408437526094,0.9998773994058762,0.9588417095636392,6.477592015989204,8,0.5403857041130423,0.013832395230966004
5,0.06912809732197692,0.9773106745409146,0.7413157496622851,1.7124812152052817,6,0.7579448307760094,0.013835461542974336
