candidate_id,model,feature_set,params,validation_start,validation_end,n_validation,threshold,balanced_accuracy,brier_score,log_loss,probability_std,selected
36,ElasticNet,extended,"{""C"": 0.003, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.52,0.5512820512820513,0.2490476975742451,0.6912406751880368,0.014173206681703574,True
1,Logistic,core,"{""C"": 0.001}",2017-01-06,2019-12-27,156,0.48,0.5,0.2513584951831003,0.6958648733344547,0.007111391639413545,True
29,XGBoost,core,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 80, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",2017-01-06,2019-12-27,156,0.49,0.5256410256410257,0.2541091191341292,0.701617114933697,0.06917422371308743,True
